name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active
Aerial Scout,CW01,W,,Artifact Creature,Dinosaur,common,"Flying
Whenever an opponent casts an artifact spell, untap Aerial Scout.","Easily trainable to track Kosmengeve troop movements, since they already like looking for shinies for their nests.",1,1,,,https://www.planesculptors.net/upload/5734/16049/Aerial%20Scout.jpg,White,FALSE
Aguefield Ox,CW12,3w,,Artifact Creature,Cattle,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
When Aguefield Ox enters or dies, you gain life equal to its toughness.",,0,2,,,https://www.planesculptors.net/upload/5734/16049/Aguefield%20Ox.jpg,White,
"Akolum, Sheltering Wings",RW05,4w,Legendary,Artifact Creature,Dinosaur,rare,"Clockwork 5 (This creature enters with 5 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Flying, first strike
Each permanent you control has ward {X}, where X is the number of counters on that permanent.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Akolum%20Sheltering%20Wings.jpg,White,
Aloof Vulpine,CW07,1w,,Artifact Creature,Fox,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Sacrifice Aloof Vulpine: Destroy target enchantment.",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Aloof%20Vulpine.jpg,White,
Anima Seraph,MW02,3ww,,Artifact Creature,Angel,mythic,"Flying, vigilance
At the beginning of your upkeep, reveal the top card of your library. Until your next turn, nonland permanents your opponents control with the same mana value can’t attack or block and their activated abilities can’t be activated.",She flies on wings of life itself.,4,4,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Seraph.jpg,White,FALSE
Budding Thopter,UW04,2w,,Artifact Creature,Thopter,uncommon,"Flying
When Budding Thopter dies, create two 1/1 white Thopter artifact creature tokens with flying.",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Budding%20Thopter.jpg,White,
Build Back Better,RW07,4ww,,Sorcery,,rare,"Put target permanent card with mana value 3 or less from your graveyard to the battlefield. If a creature enters this way, it enters with an additional three +1/+1 counters on it.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Build%20Back%20Better.jpg,White,
Colossus of Solitude,RW06,4WW,,Artifact Creature,Treefolk Druid,rare,"Lifelink
When Colossus of Solitude enters, destroy up to one target artifact. When you do, its controller gains life equal to its mana value.",,6,6,,,https://www.planesculptors.net/upload/5734/16049/Colossus%20of%20Solitude.jpg,White,FALSE
Concentrated Fire,CW16,1w,,Instant,,common,Concentrated Fire deals damage equal to the number of artifacts you control to target attacking or blocking creature.,"Kosmen’s army fired as one, and a wall of bolts spread outwards.",,,,,https://www.planesculptors.net/upload/5734/16049/Concentrated%20Fire.jpg,White,FALSE
Craft the Menagerie,RW04,Xww,,Sorcery,,rare,"Create a 1/1 white Thopter artifact creature token with flying. If you spent 4 or more mana to cast this spell, also create a 2/2 white Drone artifact creature token with vigilance. If you spent 7 or more mana to cast this spell, also create a 3/3 green Beast artifact creature token with trample.",,,,,,https://www.planesculptors.net/upload/5734/16049/Craft%20the%20Menagerie.jpg,White,
Defensive Position,CW18,1w,,Instant,,common,"Target artifact you control gains indestructible until end of turn. If it&#39;s a creature, put a +1/+1 counter on it. Otherwise, put a charge counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Defensive%20Position.jpg,White,
Deprogram,CW14,2w,,Enchantment,Aura,common,"Enchant creature
Enchanted creature can’t attack or block, and its activated abilities can’t be activated.
{w}{w}: Exile enchanted creature. Any player may activate this ability.",,,,,,https://www.planesculptors.net/upload/5734/16049/Deprogram.jpg,White,
Enthusiastic Birdwatcher,UW02,1w,,Artifact Creature,Treefolk,uncommon,"{2}, {t}: Return target creature you control to its owner&#39;s hand. Create a 1/1 white Thopter artifact creature token with flying.
{3}{w}{w}, Exile Enthusiastic Birdwatcher from your graveyard: Create three 1/1 white Thopter artifact creature tokens with flying.",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Enthusiastic%20Birdwatcher.jpg,White,
Final Reckoning,RW08,4WW,,Sorcery,,rare,"Destroy all artifacts and creatures.
If a source an opponent controls dealt damage to you this turn, you may cast Final Reckoning as though it had flash.",,,,,,https://www.planesculptors.net/upload/5734/16049/Final%20Reckoning.jpg,White,
